Epoch 1 | Step 1300/4210 | Loss: 0.5040 | Acc: 0.7362 | LR: 1.54e-04
Epoch 1 | Step 1310/4210 | Loss: 0.5034 | Acc: 0.7368 | LR: 1.53e-04
Epoch 1 | Step 1320/4210 | Loss: 0.5026 | Acc: 0.7376 | LR: 1.52e-04
Epoch 1 | Step 1330/4210 | Loss: 0.5009 | Acc: 0.7386 | LR: 1.52e-04
Epoch 1 | Step 1340/4210 | Loss: 0.5003 | Acc: 0.7389 | LR: 1.51e-04
Epoch 1 | Step 1350/4210 | Loss: 0.4997 | Acc: 0.7394 | LR: 1.51e-04
Epoch 1 | Step 1360/4210 | Loss: 0.4995 | Acc: 0.7401 | LR: 1.50e-04
Epoch 1 | Step 1370/4210 | Loss: 0.4982 | Acc: 0.7410 | LR: 1.50e-04
Epoch 1 | Step 1380/4210 | Loss: 0.4968 | Acc: 0.7422 | LR: 1.49e-04
Epoch 1 | Step 1390/4210 | Loss: 0.4955 | Acc: 0.7432 | LR: 1.49e-04
Epoch 1 | Step 1400/4210 | Loss: 0.4941 | Acc: 0.7442 | LR: 1.48e-04
Epoch 1 | Step 1410/4210 | Loss: 0.4932 | Acc: 0.7448 | LR: 1.48e-04
Epoch 1 | Step 1420/4210 | Loss: 0.4927 | Acc: 0.7453 | LR: 1.47e-04
Epoch 1 | Step 1430/4210 | Loss: 0.4917 | Acc: 0.7461 | LR: 1.47e-04
Epoch 1 | Step 1440/4210 | Loss: 0.4907 | Acc: 0.7470 | LR: 1.46e-04
Epoch 1 | Step 1450/4210 | Loss: 0.4898 | Acc: 0.7477 | LR: 1.46e-04
Epoch 1 | Step 1460/4210 | Loss: 0.4893 | Acc: 0.7480 | LR: 1.45e-04
Epoch 1 | Step 1470/4210 | Loss: 0.4885 | Acc: 0.7488 | LR: 1.45e-04
Epoch 1 | Step 1480/4210 | Loss: 0.4880 | Acc: 0.7491 | LR: 1.44e-04
Epoch 1 | Step 1490/4210 | Loss: 0.4871 | Acc: 0.7498 | LR: 1.44e-04
Epoch 1 | Step 1500/4210 | Loss: 0.4865 | Acc: 0.7504 | LR: 1.43e-04
Epoch 1 | Step 1510/4210 | Loss: 0.4854 | Acc: 0.7511 | LR: 1.42e-04
Epoch 1 | Step 1520/4210 | Loss: 0.4844 | Acc: 0.7518 | LR: 1.42e-04
Epoch 1 | Step 1530/4210 | Loss: 0.4837 | Acc: 0.7525 | LR: 1.41e-04
Epoch 1 | Step 1540/4210 | Loss: 0.4830 | Acc: 0.7531 | LR: 1.41e-04
Epoch 1 | Step 1550/4210 | Loss: 0.4822 | Acc: 0.7539 | LR: 1.40e-04
Epoch 1 | Step 1560/4210 | Loss: 0.4812 | Acc: 0.7547 | LR: 1.40e-04
Epoch 1 | Step 1570/4210 | Loss: 0.4802 | Acc: 0.7554 | LR: 1.39e-04
Epoch 1 | Step 1580/4210 | Loss: 0.4798 | Acc: 0.7559 | LR: 1.39e-04
Epoch 1 | Step 1590/4210 | Loss: 0.4791 | Acc: 0.7567 | LR: 1.38e-04
Epoch 1 | Step 1600/4210 | Loss: 0.4783 | Acc: 0.7573 | LR: 1.38e-04
Epoch 1 | Step 1610/4210 | Loss: 0.4773 | Acc: 0.7582 | LR: 1.37e-04
Epoch 1 | Step 1620/4210 | Loss: 0.4768 | Acc: 0.7586 | LR: 1.37e-04
Epoch 1 | Step 1630/4210 | Loss: 0.4758 | Acc: 0.7592 | LR: 1.36e-04
Epoch 1 | Step 1640/4210 | Loss: 0.4751 | Acc: 0.7599 | LR: 1.36e-04
Epoch 1 | Step 1650/4210 | Loss: 0.4740 | Acc: 0.7606 | LR: 1.35e-04
Epoch 1 | Step 1660/4210 | Loss: 0.4733 | Acc: 0.7609 | LR: 1.35e-04
Epoch 1 | Step 1670/4210 | Loss: 0.4727 | Acc: 0.7616 | LR: 1.34e-04
Epoch 1 | Step 1680/4210 | Loss: 0.4718 | Acc: 0.7622 | LR: 1.33e-04
Epoch 1 | Step 1690/4210 | Loss: 0.4709 | Acc: 0.7628 | LR: 1.33e-04
Epoch 1 | Step 1700/4210 | Loss: 0.4701 | Acc: 0.7634 | LR: 1.32e-04
Epoch 1 | Step 1710/4210 | Loss: 0.4692 | Acc: 0.7641 | LR: 1.32e-04
Epoch 1 | Step 1720/4210 | Loss: 0.4684 | Acc: 0.7646 | LR: 1.31e-04
Epoch 1 | Step 1730/4210 | Loss: 0.4673 | Acc: 0.7654 | LR: 1.31e-04
Epoch 1 | Step 1740/4210 | Loss: 0.4665 | Acc: 0.7660 | LR: 1.30e-04
Epoch 1 | Step 1750/4210 | Loss: 0.4662 | Acc: 0.7664 | LR: 1.30e-04
Epoch 1 | Step 1760/4210 | Loss: 0.4652 | Acc: 0.7671 | LR: 1.29e-04
Epoch 1 | Step 1770/4210 | Loss: 0.4645 | Acc: 0.7677 | LR: 1.29e-04
Epoch 1 | Step 1780/4210 | Loss: 0.4638 | Acc: 0.7681 | LR: 1.28e-04
Epoch 1 | Step 1790/4210 | Loss: 0.4624 | Acc: 0.7690 | LR: 1.28e-04
Epoch 1 | Step 1800/4210 | Loss: 0.4613 | Acc: 0.7698 | LR: 1.27e-04
Epoch 1 | Step 1810/4210 | Loss: 0.4603 | Acc: 0.7704 | LR: 1.27e-04
Epoch 1 | Step 1820/4210 | Loss: 0.4596 | Acc: 0.7709 | LR: 1.26e-04
Epoch 1 | Step 1830/4210 | Loss: 0.4586 | Acc: 0.7715 | LR: 1.26e-04
Epoch 1 | Step 1840/4210 | Loss: 0.4582 | Acc: 0.7720 | LR: 1.25e-04
Epoch 1 | Step 1850/4210 | Loss: 0.4573 | Acc: 0.7726 | LR: 1.25e-04
Epoch 1 | Step 1860/4210 | Loss: 0.4564 | Acc: 0.7730 | LR: 1.24e-04
Epoch 1 | Step 1870/4210 | Loss: 0.4556 | Acc: 0.7737 | LR: 1.23e-04
Epoch 1 | Step 1880/4210 | Loss: 0.4553 | Acc: 0.7740 | LR: 1.23e-04
Epoch 1 | Step 1890/4210 | Loss: 0.4547 | Acc: 0.7744 | LR: 1.22e-04
Epoch 1 | Step 1900/4210 | Loss: 0.4539 | Acc: 0.7749 | LR: 1.22e-04
Epoch 1 | Step 1910/4210 | Loss: 0.4528 | Acc: 0.7755 | LR: 1.21e-04
Epoch 1 | Step 1920/4210 | Loss: 0.4523 | Acc: 0.7759 | LR: 1.21e-04
Epoch 1 | Step 1930/4210 | Loss: 0.4514 | Acc: 0.7765 | LR: 1.20e-04
Epoch 1 | Step 1940/4210 | Loss: 0.4507 | Acc: 0.7770 | LR: 1.20e-04
Epoch 1 | Step 1950/4210 | Loss: 0.4499 | Acc: 0.7775 | LR: 1.19e-04
Epoch 1 | Step 1960/4210 | Loss: 0.4489 | Acc: 0.7782 | LR: 1.19e-04
Epoch 1 | Step 1970/4210 | Loss: 0.4482 | Acc: 0.7786 | LR: 1.18e-04
Epoch 1 | Step 1980/4210 | Loss: 0.4475 | Acc: 0.7792 | LR: 1.18e-04
Epoch 1 | Step 1990/4210 | Loss: 0.4470 | Acc: 0.7794 | LR: 1.17e-04
Epoch 1 | Step 2000/4210 | Loss: 0.4460 | Acc: 0.7801 | LR: 1.17e-04
Epoch 1 | Step 2010/4210 | Loss: 0.4449 | Acc: 0.7808 | LR: 1.16e-04
Epoch 1 | Step 2020/4210 | Loss: 0.4442 | Acc: 0.7813 | LR: 1.16e-04
Epoch 1 | Step 2030/4210 | Loss: 0.4434 | Acc: 0.7818 | LR: 1.15e-04
Epoch 1 | Step 2040/4210 | Loss: 0.4428 | Acc: 0.7822 | LR: 1.14e-04
Epoch 1 | Step 2050/4210 | Loss: 0.4418 | Acc: 0.7829 | LR: 1.14e-04
Epoch 1 | Step 2060/4210 | Loss: 0.4411 | Acc: 0.7834 | LR: 1.13e-04
Epoch 1 | Step 2070/4210 | Loss: 0.4405 | Acc: 0.7838 | LR: 1.13e-04
Epoch 1 | Step 2080/4210 | Loss: 0.4398 | Acc: 0.7843 | LR: 1.12e-04
Epoch 1 | Step 2090/4210 | Loss: 0.4392 | Acc: 0.7846 | LR: 1.12e-04
Epoch 1 | Step 2100/4210 | Loss: 0.4388 | Acc: 0.7851 | LR: 1.11e-04
Epoch 1 | Step 2110/4210 | Loss: 0.4388 | Acc: 0.7853 | LR: 1.11e-04
Epoch 1 | Step 2120/4210 | Loss: 0.4382 | Acc: 0.7857 | LR: 1.10e-04
Epoch 1 | Step 2130/4210 | Loss: 0.4374 | Acc: 0.7863 | LR: 1.10e-04
